Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
ARHGAP6	1	1	102.5703508	1	1	1	1	1	107.922186	152.1933356	94.08850108	40.67801848	22.3584844	383.1508598	1	577.7493172	1	1	1
ARHGDIB	1	1	1	1	1	1	1	1	1	1	1	1	1	223.8581951	1	85.46886293	1	1	1
ARHGEF26	1	1	1	1	528.9032808	1	1	1	1	1	33.11237833	2.752909469	1	1	1	1	1	1	1
ARHGEF26.AS1	36.89018528	36.95634807	1	1	368.1888191	1	1	1	1	1	36.83548563	7.945796827	1	1	1	1	1	1	1
ARHGEF28	1	18.7143391	1	1	1	1	112.4261307	107.3685456	9.496852073	111.4376467	36.38829016	60.88442686	1	1	18.54873897	82.19584379	96.50195392	13.00676267	1
ARHGEF37	1	1	1	121.6944733	1	1	1	1	1	1	1	1	6.203796056	1	1	1	100.2252934	1	66.3511035
ARL4A	1	1	1	1	1	8.943972817	1	11.72070725	1	1	80.60440828	1	1	1	1	1	260.1237327	43.07951652	1
ARL4C	249.3318265	300.8938706	200.252696	1	1	1	7.420492383	1	125.5105333	1	1	9.363311631	80.79785817	1	1.541445657	1	1	1	1
ARMCX2	1	9.760634862	9.400999341	1	1	8.182079696	7.662431435	8.172898988	1	9.2047017	1	9.249288549	8.469747696	1	2.46073114	1	1	65.07297293	1
ARNTL2	1	1	1	1	1	233.8114625	138.4099653	38.19693612	1	7.493260248	1	14.04801543	1	1	9.24193143	1	1	13.97583905	1
ARPP21	1	730.8337805	244.3580388	196.8188359	1	1045.640107	1228.821539	1167.708036	1	1359.636661	682.9147969	1868.079271	1	1	1219.311129	1	1	1219.311129	1
ARRB2	1	1	1	1	1	1	1	1	1	1	1	1	1	137.7870062	1	1	1	1	1
